"analysis_id","gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","parameter_name","pvalue"
"00u5vsjz1d5l964","MGI:1859214","Pmm2","C57BL","E12.5","IMPC_GEL_063_001","Delayed embryonic development",0.5322029
"00u6ob6az3am05h","MGI:1861457","Dynll1","C57BL","Early adult","IMPC_HEM_003_001","Hemoglobin",0.5753363
"00v4b8f9s38975l","MGI:1858696","Copg1","C57BL","Early adult","IMPC_GEP_017_001","Facial Morphology",0.6193734
"00vtgq3096199fo","MGI:107566","Kifap3","C57BL","Early adult","IMPC_CSD_024_001","Vibrissae - appearance",0.08963621
"00xr620df2709hx","MGI:2138334","Dgkd","C57BL","Early adult","IMPC_XRY_033_001","Tibia length",0.1473209
"00y8y84v5076z66","MGI:1915814","Nufip2","C57BL","E9.5","IMPC_GEP_005_002","Responsive to tactile stimuli",0.53418
"00zzf43llr8v02a","MGI:1914162","Bzw2","C57BL","Early adult","IMPC_IMM_005_002","NK cells (Panel A) - % of live leukocytes (Panel A)",0.7380232
"0104e478u0ydp4t","MGI:1915956","Rgp1","C57BL","E12.5","IMPC_EYE_092_002","Retina (combined)",0.1752174
"0105989p86xaxa5","MGI:1859638","Pqbp1","C57BL","E15.5","IMPC_DXA_008_001","Lean/Body weight",0.8899768
"010d15odb60lnb9","MGI:2159324","Cln6","C57BL","Early adult","IMPC_HEM_003_001","Hemoglobin",0.4819518
"010g7u1pcu7a857","MGI:1916690","Dennd6b","C57BL","Early adult","IMPC_DXA_003_001","Lean mass",0.8715859
"010gbpit88bx6x5","MGI:2147679","Patl1","C57BL","E18.5","UCD_OWT_003_001","Spleen weight",0.1979233
"010gkouzy4z42v6","MGI:1925212","Scaf8","C57BL","E18.5","IMPC_OFD_007_001","Whole arena resting time",0.6236633
"010x82owlsiif63","MGI:2682952","Prdm10","C57BL","Early adult","IMPC_GPO_002_001","Placenta Morphology",0.9569427
"01151z4f9v2i9dk","MGI:1915087","TIPRL","C57BL","E12.5","IMPC_IMM_005_002","NK cells (Panel A) - % of live leukocytes (Panel A)",0.6144032
"01158617d281jya","MGI:1915814","Nufip2","C57BL","Early adult","IMPC_ACS_034_001","% Pre-pulse inhibition - PPI2",0.3560467
"011ijhc1z13o2mc","MGI:2147134","Fbxo11","C57BL","Early adult","JAX_HBD_001_001","Total holepokes",0.790848
"011kxb1g9db5z1w","MGI:1914162","Bzw2","C57BL","Early adult","MGP_CSD_023_001","Dorsal coat/hair appearance",0.8027733
"011q714591djexs","MGI:2388267","Bicdl2","C57BL","Early adult","IMPC_HEM_005_001","Mean cell volume",0.9603112
"0122l73u275d720","MGI:2147134","Fbxo11","C57BL","Early adult","ESLIM_011_001_009","PP3 + pulse startle magnitude",0.5311541
"012c0u68863v913","MGI:1921703","Cfap53","C57BL","Early adult","JAX_PLC_001_001","Total cholesterol",0.198144
"012dyet5392s04e","MGI:1194883","Crx","C57BL","Early adult","IMPC_ACS_006_001","Response amplitude - S",0.4351054
"012x10r90290yn8","MGI:2144989","Plekhh1","C57BL","Early adult","IMPC_HEM_004_001","Hematocrit",0.4013377
"0136795u451q08a","MGI:96193","Hoxc11","C57BL","Early adult","ESLIM_005_001_701","BMC/Body weight",0.9976999
"0138a3rpxu02wkz","MGI:1915956","Rgp1","C57BL","Early adult","IMPC_GEO_063_001","Craniofacial morphology",0.6226731
"01395x5c2mc4r03","MGI:2138334","Dgkd","C57BL","Early adult","ESLIM_008_001_001","Body position",0.8794937
"013v06l9v945x4q","MGI:102793","Fstl1","C57BL","Early adult","M-G-P_025_001_023","HDL-cholesterol",0.3837406
"01454p5f3170189","MGI:1861457","Dynll1","C57BL","Early adult","impc_cbc_025_001","LDL-cholesterol",0.9555087
"014823x74iz94wo","MGI:103556","Cxcl12","C57BL","E9.5","M-G-P_026_001_006","Skin condition",0.525117
"014cm5g59k8b4yj","MGI:102657","Cdc34","C57BL","Early adult","IMPC_OFD_007_001","Whole arena resting time",0.5958798
"014d1x93h6lr3l5","MGI:1916625","Btbd9","C57BL","Early adult","M-G-P_016_001_006","Mean-corpuscular-haemoglobin",0.729774
"0158t276f2585q3","MGI:2443664","Rreb1","C57BL","Early adult","JAX_PLC_004_001","Glucose",0.4492394
"015p9gj394wn0f5","MGI:2144989","Plekhh1","C57BL","Early adult","ESLIM_011_001_008","PP2 + pulse startle magnitude",0.6867494
"015swv9096l41w5","MGI:2147679","Patl1","C57BL","Early adult","TCPLA_CSD_032_001","Locomotor activity",0.1877411
"0162sq58mry04ai","MGI:2684940","Gm94","C57BL","Early adult","IMPC_EYE_003_001","Eye Hemorrhage or Blood Presence",0.6671012
"01655rd983y7501","MGI:2136381","Hadhb","C57BL","E18.5","GMC_923_001_001","Body weight",0.1870486
"01697qa82b27nj8","MGI:1347249","PSG16","C57BL","Early adult","IMPC_ACS_035_001","% Pre-pulse inhibition - PPI3",0.0712142
"016a0bx17a55727","MGI:1921398","Cluh","C57BL","Early adult","ESLIM_011_001_705","Global prepulse inhibition",0.6896308
"016pwjwg8a4hoo4","MGI:98495","Tbx3","C57BL","Early adult","ESLIM_011_001_010","PP4 + pulse startle magnitude",0.3658411
"016xymi0up8h0u8","MGI:2147134","Fbxo11","C57BL","Early adult","IMPC_CBC_007_001","Albumin",0.4612343
"0179r4gsk1uk232","MGI:102793","Fstl1","C57BL","Early adult","m-g-p_012_001_005","Body Weight",0.7144759
"017ht3v551lo17h","MGI:1195272","Eda","C57BL","Early adult","IMPC_DXA_004_001","Bone Mineral Density (excluding skull)",0.7918188
"0183jr586lysv07","MGI:102793","Fstl1","C57BL","Early adult","IMPC_CBC_001_001","Sodium",0.1676125
"0186o5ss0b70rcu","MGI:2182543","Grhl2","C57BL","Early adult","JAX_OFD_021_001","Number of rears - total",0.763365
"018hch7n762p64l","MGI:1917345","Zfp512","C57BL","Early adult","TCPLA_CSD_032_001","Locomotor activity",0.05410009
"018o87n737oab54","MGI:1913521","Tmem126a","C57BL","Early adult","IMPC_EYE_016_001","Lens",0.5133239
"0192n4aoaei60ms","MGI:1929492","Atl2","C57BL","Early adult","IMPC_GEL_063_001","Delayed embryonic development",0.1972357
"019fi2bbad162v8","MGI:2442920","Rab11fip4","C57BL","early adult","CCP_XRY_012_001","Pelvis",0.4511973
"01a0h1uqcg1rbmi","MGI:1859607","Praf2","C57BL","Early adult","JAX_OFD_016_001","Center permanence time",0.8796063
"01a97q7v440q697","MGI:1913721","Anp32e","C57BL","Early adult","ESLIM_011_001_010","PP4 + pulse startle magnitude",0.6004656
"01aeo3xb77h1w99","MGI:1915087","Tiprl","C57BL","Early adult","JAX_LDT_001_001","Side changes",0.2589123
"01bpn1i4u1rb993","MGI:2442920","Rab11fip4","C57BL","Early adult","IMPC_GPO_002_001","Placenta Morphology",0.5585056
"01c0ql044a1eldx","MGI:1923356","Kdm3b","C57BL","E18.5","IMPC_CBC_025_001","LDL-cholesterol",0.05432149
"01c269619520vdv","MGI:1341881","Syngr3","C57BL","Middle aged adult","M-G-P_012_001_005","Body Weight",0.1920167
"01crot8rvwjz88r","MGI:1098779","Cdk2ap2","C57BL","Early adult","IMPC_CBC_007_001","Albumin",0.3619565
"01d3f766x5l3n98","MGI:96412","Ide","C57BL","Early adult","IMPC_DXA_009_001","Fat/Body weight",0.7504564
"01d8209fogiz35m","MGI:1915087","Tiprl","C57BL","E9.5","IMPC_EYE_056_001","Mean left eye lens density",0.3324154
"01dklvj4as1i472","MGI:2443664","Rreb1","C57BL","Early adult","IMPC_IPG_012_001","Area under glucose response curve",0.7108062
"01dwix05w32t606","MGI:1918248","Phf6","C57BL","Early adult","IMPC_CBC_003_001","Chloride",0.8010921
"01e65441d1t895s","MGI:1916625","Btbd9","C57BL","Early adult","ESLIM_011_001_704","Prepulse inhibition - PP4",0.5296253
"01e804ze98ps822","MGI:2684940","Gm94","C57BL","Early adult","IMPC_GEP_011_002","Hemorrhage",0.3912983
"01et1674x93kd71","MGI:1353657","Fgd3","C57BL","Early adult","IMPC_HEM_027_001","Red blood cell distribution width",0.9741231
"01g7h7nph8868c4","MGI:107566","Kifap3","C57BL","Early adult","MGP_CSD_023_001","Dorsal coat/hair appearance",0.4624531
"01gbg4o64uui61i","MGI:2448562","Adnp2","C57BL","Early adult","IMPC_GEP_005_002","Responsive to tactile stimuli",0.652937
"01i500m5mj7g5og","MGI:1916625","Btbd9","C57BL","Early adult","ESLIM_015_001_015","Alkaline phosphatase",0.8850162
"01ii4t39ks91mb6","MGI:1915087","Tiprl","C57BL","Early adult","IMPC_CSD_079_001","Aggression",0.5719624
"01j149229y1a8t0","MGI:1341881","Syngr3","C57BL","Late adult","IMPC_GEO_047_002","Microphthalmia",0.5141253
"01k39f413aisfbh","MGI:97312","Nfkb1","129SV","Early adult","IMPC_OFD_011_001","Periphery resting time",0.6662269
"01kqx3w0e6rc3ez","MGI:2676312","Abca12","C57BL","E18.5","ESLIM_021_001_004","Free fatty acids",0.8693062
"01le11lqet5i0mm","MGI:1921501","Ankrd9","C57BL","Early adult","ESLIM_011_001_006","110dB startle magnitude",0.7374962
"01ms46f96743568","MGI:1919618","Borcs8","C57BL","Early adult","IMPC_EYE_017_001","Lens Opacity",0.3657386
"01n0h3lhh3b16b1","MGI:1859214","Pmm2","C57BL","E12.5","IMPC_CBC_006_001","Total protein",0.6798023
"01n881m599a9r39","MGI:1931028","Recql4","C57BL","Early adult","CCP_LDT_006_001","Latency to first transition into light",0.7125443
"01nb3x7o0i2736z","MGI:1861457","Dynll1","C57BL","Early adult","IMPC_HEM_008_001","Platelet count",0.6931967
"01owjg293m4ag66","MGI:1928271","Malrd1","C57BL","Early adult","IMPC_HEM_019_001","Mean platelet volume",0.5201863
"01p4z5847q34q5f","MGI:1859214","Pmm2","C57BL","E9.5","IMPC_DXA_004_001","Bone Mineral Density (excluding skull)",0.3626991
"01p5x7tkv6hp1h5","MGI:96546","Il1r2","C57BL","Early adult","IMPC_GEL_061_001","Optic vesicle morphology",0.4561785
"01pm39apqv47f94","MGI:1915087","Tiprl","C57BL","E9.5","IMPC_DXA_008_001","Lean/Body weight",0.3745835
"01q8815hda24e34","MGI:1859214","Pmm2","C57BL","Early adult","ESLIM_011_001_007","PP1 + pulse startle magnitude",0.7995513
"01qv901ba9z231u","MGI:98495","Tbx3","C57BL","Early adult","JAX_OFD_021_001","Number of rears - total",0.5733326
"01r8630p4c635a4","MGI:1353657","Fgd3","C57BL","Early adult","IMPC_HEM_008_001","Platelet count",0.7745434
"01r8u43h38a1h8k","mgi:105080","Tgoln1","C57BL","Early adult","ESLIM_005_001_702","Lean/Body weight",0.7144173
"01r8zwu21x48ta5","MGI:1918234","4931406C07Rik","C57BL","Early adult","M-G-P_009_001_003","Body weight",0.1505193
"01ra2ry05zqf46k","MGI:1914961","Nsmce1","C57BL","Early adult","M-G-P_020_001_001","Body Weight",0.4132092
"01rlrrv025d04n5","MGI:103556","Cxcl12","C57BL","Early adult","ESLIM_011_001_006","110dB startle magnitude",0.3713943
"01rw58u8w6n9b4b","MGI:105080","Tgoln1","C57BL","Early adult","ESLIM_008_001_013","Startle response",0.57224
"01rzdedh2rgt823","MGI:1921703","Cfap53","C57BL","Early adult","IMPC_CBC_020_001","Fructosamine",0.3846944
"01sb61ce2fg0306","MGI:1931028","Recql4","C57BL","E12.5","ESLIM_011_001_008","PP2 + pulse startle magnitude",0.800986
"01t1j0o8ka1ehz5","MGI:1341881","Syngr3","C57BL","Middle aged adult","JAX_OFD_012_001","Periphery permanence time",0.1175891
"01t5347rr2150w0","MGI:97312","Nfkb1","C57BL","Early adult","IMPC_HEM_004_001","Hematocrit",0.6732728
"01uo77bq317242t","MGI:2679719","Armc7","C57BL","Early adult","M-G-P_005_001_001","Weight",0.4143385
"01vs0z54z21f9a8","MGI:2147679","Patl1","C57BL","e12.5","IMPC_HEM_003_001","Hemoglobin",0.8943163
"01w48i74h6h93m1","MGI:1913521","Tmem126a","C57BL","Early adult","IMPC_CSD_062_001","Skin texture - whole body",0.1318856
"01wk8vo69sia96g","MGI:2448562","Adnp2","C57BL","Late adult","IMPC_CBC_015_001","Total cholesterol",0.5642375
"01x3r68p7viz9gv","MGI:96194","Hoxc12","C57BL","Early adult","ESLIM_008_001_001","Body position",0.1546035
"01xk3r3sg67kqv1","MGI:1859214","Pmm2","C57BL","E9.5","IMPC_FEA_003_001","Conditioning Baseline % Freezing Time",0.3924989
"01yet106z3fl5al","MGI:1915087","Tiprl","C57BL","E9.5","IMPC_GEL_061_001","Optic vesicle morphology",0.9509219
"020k368zz021p9a","MGI:1195272","Eda","C57BL","Early adult","IMPC_GEP_011_002","Hemorrhage",0.6389173
"020mqd13659c98v","MGI:1298378","Dhcr7","C57BL","E15.5","ESLIM_011_001_002","PP1 startle magnitude",0.1726099
"0210k5s9z877s94","MGI:2154240","Plxnb3","C57BL","Early adult","IMPC_EYE_069_001","Left inner nuclear layer",0.734677
"0214w667el85989","MGI:1924170","Arrdc5","C57BL","Early adult","IMPC_OFD_007_001","Whole arena resting time",0.9681539
"02177c67ju1p6ns","MGI:1915087","Tiprl","C57BL","Early adult","IMPC_CBC_007_001","Albumin",0.450935
"0218023b5vm800g","MGI:2144989","Plekhh1","C57BL","Early adult","IMPC_IMM_005_002","NK cells (Panel A) - % of live leukocytes (Panel A)",0.593663
"0218dn3l1kw11ku","MGI:894318","Cdk14","C57BL","Early adult","IMPC_CSD_033_001","Gait",0.2329046
"021964cu8yz1mzc","MGI:1859638","Pqbp1","C57BL","E15.5","IMPC_IPG_012_001","Area under glucose response curve",0.4796625
"021i89e7p272l61","MGI:1918234","4931406C07Rik","C57BL","Early adult","IMPC_DXA_002_001","Fat mass",0.6957414
"021j45o5j2848d6","MGI:2182543","Grhl2","C57BL","E15.5","GMC_916_001_008","Latency familiar object exploration",0.9702602
"021p9974k8rt6dn","MGI:2138334","Dgkd","C57BL","Early adult","MGP_IMM_070_001","Total ab T cells - % of CD45+",0.8139637
"021uv46pgl1h944","MGI:1931028","Recql4","C57BL","E9.5","M-G-P_026_001_006","Skin condition",0.1337109
"021zwc13263uboz","MGI:109339","Eya3","C57BL","Early adult","IMPC_HEM_003_001","Hemoglobin",0.7406021
"02264y25sir28a2","MGI:1353657","Fgd3","C57BL","Early adult","IMPC_CBC_054_001","Magnesium",0.168266
"0226g12h44o46s8","MGI:105089","Hsd17b4","C57BL","Middle aged adult","IMPC_ABR_008_001","18kHz-evoked ABR Threshold",0.7881466
"0227fic450d3731","MGI:2448562","Adnp2","C57BL","Late adult","IMPC_GRS_008_001","Forelimb grip strength measurement mean",0.3406205
"022921ld042l6mz","MGI:1916690","Dennd6b","C57BL","Early adult","IMPC_GEP_011_002","Hemorrhage",0.3110602
"023355n78u02pb9","MGI:1931028","Recql4","C57BL","E9.5","IMPC_GEO_067_001","Syndactyly",0.4330305
"0236er9cpb23593","MGI:2448562","Adnp2","C57BL","Early adult","JAX_OFD_014_001","Center distance travelled",0.7270022
"02383nl49c6zu95","MGI:3608347","Zfp385c","C57BL","Early adult","IMPC_ACS_036_001","% Pre-pulse inhibition - PPI4",0.4398585
"023nuh002f03ba6","MGI:1931028","Recql4","C57BL","Early adult","IMPC_GEL_061_001","Optic vesicle morphology",0.3537963
"02438376xgvfpgr","MGI:1929492","Atl2","C57BL","Early adult","UCD_OWT_003_001","Spleen weight",0.6202216
"0257su44562842a","MGI:2140300","Myorg","C57BL","Early adult","IMPC_CBC_005_001","Creatinine",0.6418541
"025lv18nl4f5rvi","MGI:1914961","Nsmce1","C57BL","Early adult","IMPC_CBC_018_001","Glucose",0.9955523
"02600hatsq7qg71","MGI:96194","Hoxc12","C57BL","Early adult","IMPC_DXA_002_001","Fat mass",0.8280683
"0263my8h4l10pam","MGI:1915814","Nufip2","C57BL","Early adult","IMPC_CBC_003_001","Chloride",0.9522575
"02697f4v25go669","MGI:1915814","Nufip2","C57BL","Early adult","IMPC_CBC_017_001","Triglycerides",0.6024423
"026e8usfdc7697b","MGI:2388267","Bicdl2","C57BL","Early adult","JAX_PLC_004_001","Glucose",0.4292694
"0274ieby3ak2563","MGI:1925212","Scaf8","C57BL","E9.5","M-G-P_007_001_007","Periphery - resting time",0.5871882
"0279i1fz09o80iv","MGI:95514","Fes","C57BL","Early adult","M-G-P_025_001_015","Alkaline phosphatase",0.1461491
"027dor5iq6309s4","MGI:1933155","Arl4d","C57BL","Early adult","ESLIM_005_001_701","BMC/Body weight",0.2756331
"027f0u3t77ovd67","MGI:3608347","Zfp385c","C57BL","Early adult","MGP_IMM_070_001","Total ab T cells - % of CD45+",0.7129642
"027oq91t551ehpu","MGI:2442233","Arhgef9","C57BL","Early adult","CCP_XRY_012_001","Pelvis",0.9377232
"027r10285h6m073","MGI:102793","Fstl1","C57BL","Early adult","ESLIM_008_001_013","Startle response",0.3971179
"028720l4r7958s9","MGI:1861457","Dynll1","C57BL","Early adult","JAX_LDT_002_001","Light side time spent",0.5763814
"02973am6x047x8o","MGI:102657","Cdc34","C57BL","Early adult","IMPC_HEM_002_001","Red blood cell count",0.8513651
"029jqh45e84tcl5","MGI:1924170","Arrdc5","C57BL","Early adult","IMPC_CSD_027_001","Ears",0.6324917
"029pco623ay3t78","MGI:2444156","Rccd1","C57BL","Early adult","IMPC_DXA_009_001","Fat/Body weight",0.8075799
"02a4pwjp776qx9e","MGI:1925212","Scaf8","C57BL","Early adult","IMPC_GEP_005_002","Responsive to tactile stimuli",0.2305737
"02a9k072enax89m","MGI:1923896","Wdr38","C57BL","Early adult","ESLIM_011_001_007","PP1 + pulse startle magnitude",0.3899022
"02az3kx108c059n","MGI:1858696","Copg1","C57BL","Early adult","IMPC_GRS_009_001","Forelimb and hindlimb grip strength measurement mean",0.2868688
"02b7y32oj2623t2","MGI:1101778","Bmx","C57BL","Early adult","IMPC_IPG_011_001","Initial response to glucose challenge",0.3990596
"02b8a868t4z1kp3","MGI:2147134","Fbxo11","C3H","Early adult","IMPC_CBC_009_001","Calcium",0.5253527
"02bfph50woo1n16","MGI:1925212","Scaf8","C57BL","Early adult","ESLIM_011_001_010","PP4 + pulse startle magnitude",0.9443389
"02bs6m32990rc3j","MGI:1933155","Arl4d","129SV","Early adult","IMPC_ACS_034_001","% Pre-pulse inhibition - PPI2",0.9663625
"02e43cxz71yqbge","MGI:1933155","Arl4d","129SV","Early adult","IMPC_OFD_020_001","Distance travelled - total",0.4808276
