procedure_name,description,is_mandatory,impc_parameter_id
Insulin Blood Level,The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].,FALSE,37896
Insulin Blood Level,The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].,FALSE,37897
Insulin Blood Level,The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].,FALSE,37898
Insulin Blood Level,The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].,FALSE,37899
Insulin Blood Level,The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].,FALSE,37900
Insulin Blood Level,The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].,FALSE,37901
Insulin Blood Level,The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].,FALSE,37902
Insulin Blood Level,The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].,FALSE,37903
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89737
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89738
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89739
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89740
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89741
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89742
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89743
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89744
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89745
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89747
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89748
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89749
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89750
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89751
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89752
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89753
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89754
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89755
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89756
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89757
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89758
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89759
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89760
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89761
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89762
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89763
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89764
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89765
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,90855
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,90856
Gross Pathology and Tissue Collection,NULL,TRUE,22110
Gross Pathology and Tissue Collection,NULL,TRUE,22111
Gross Pathology and Tissue Collection,NULL,TRUE,22112
Gross Pathology and Tissue Collection,NULL,TRUE,22113
Gross Pathology and Tissue Collection,NULL,TRUE,22114
Gross Pathology and Tissue Collection,NULL,TRUE,22115
Gross Pathology and Tissue Collection,NULL,TRUE,22116
Gross Pathology and Tissue Collection,NULL,TRUE,22117
Gross Pathology and Tissue Collection,NULL,TRUE,22118
Gross Pathology and Tissue Collection,NULL,TRUE,22119
Gross Pathology and Tissue Collection,NULL,TRUE,22120
Gross Pathology and Tissue Collection,NULL,TRUE,22121
Gross Pathology and Tissue Collection,NULL,TRUE,22122
Gross Pathology and Tissue Collection,NULL,TRUE,22123
Gross Pathology and Tissue Collection,NULL,TRUE,22124
Gross Pathology and Tissue Collection,NULL,TRUE,22125
Gross Pathology and Tissue Collection,NULL,TRUE,22126
Gross Pathology and Tissue Collection,NULL,TRUE,22127
Gross Pathology and Tissue Collection,NULL,TRUE,22128
Gross Pathology and Tissue Collection,NULL,TRUE,22129
Gross Pathology and Tissue Collection,NULL,TRUE,22130
Gross Pathology and Tissue Collection,NULL,TRUE,22131
Gross Pathology and Tissue Collection,NULL,TRUE,22132
Gross Pathology and Tissue Collection,NULL,TRUE,22133
Gross Pathology and Tissue Collection,NULL,TRUE,22134
Gross Pathology and Tissue Collection,NULL,TRUE,22135
Gross Pathology and Tissue Collection,NULL,TRUE,22136
Gross Pathology and Tissue Collection,NULL,TRUE,22137
Gross Pathology and Tissue Collection,NULL,TRUE,22138
Gross Pathology and Tissue Collection,NULL,TRUE,22139
Gross Pathology and Tissue Collection,NULL,TRUE,22140
Gross Pathology and Tissue Collection,NULL,TRUE,22141
Gross Pathology and Tissue Collection,NULL,TRUE,22142
Gross Pathology and Tissue Collection,NULL,TRUE,22143
Gross Pathology and Tissue Collection,NULL,TRUE,22144
Gross Pathology and Tissue Collection,NULL,TRUE,22145
Gross Pathology and Tissue Collection,NULL,TRUE,22146
Gross Pathology and Tissue Collection,NULL,TRUE,22147
Gross Pathology and Tissue Collection,NULL,TRUE,22148
Gross Pathology and Tissue Collection,NULL,TRUE,22149
Gross Pathology and Tissue Collection,NULL,TRUE,22150
Gross Pathology and Tissue Collection,NULL,TRUE,22151
Histopathology,NULL,FALSE,75512
Histopathology,NULL,FALSE,75513
Histopathology,NULL,FALSE,75514
Histopathology,NULL,FALSE,75515
Histopathology,NULL,FALSE,75516
Histopathology,NULL,FALSE,75517
Histopathology,NULL,FALSE,75518
Histopathology,NULL,FALSE,75519
Histopathology,NULL,FALSE,75520
Histopathology,NULL,FALSE,75521
Histopathology,NULL,FALSE,75522
Histopathology,NULL,FALSE,75523
Histopathology,NULL,FALSE,75524
Histopathology,NULL,FALSE,75525
Histopathology,NULL,FALSE,75526
Histopathology,NULL,FALSE,75527
Histopathology,NULL,FALSE,75528
Histopathology,NULL,FALSE,75529
Histopathology,NULL,FALSE,75530
Histopathology,NULL,FALSE,75531
Histopathology,NULL,FALSE,75532
Histopathology,NULL,FALSE,75533
Histopathology,NULL,FALSE,75534
Histopathology,NULL,FALSE,75535
Histopathology,NULL,FALSE,75536
Histopathology,NULL,FALSE,75537
Histopathology,NULL,FALSE,75538
Histopathology,NULL,FALSE,75539
Histopathology,NULL,FALSE,75540
Histopathology,NULL,FALSE,75541
Histopathology,NULL,FALSE,75542
Histopathology,NULL,FALSE,75543
Histopathology,NULL,FALSE,75544
Histopathology,NULL,FALSE,75545
Histopathology,NULL,FALSE,75546
Histopathology,NULL,FALSE,75547
Histopathology,NULL,FALSE,75548
Histopathology,NULL,FALSE,75549
Histopathology,NULL,FALSE,75550
Histopathology,NULL,FALSE,75551
Histopathology,NULL,FALSE,75552
Histopathology,NULL,FALSE,75553
Histopathology,NULL,FALSE,75554
Histopathology,NULL,FALSE,75555
Histopathology,NULL,FALSE,75556
Histopathology,NULL,FALSE,75557
Histopathology,NULL,FALSE,75558
Histopathology,NULL,FALSE,75559
Histopathology,NULL,FALSE,75560
Histopathology,NULL,FALSE,75561
Histopathology,NULL,FALSE,75562
Histopathology,NULL,FALSE,75563
Histopathology,NULL,FALSE,75564
Histopathology,NULL,FALSE,75565
Histopathology,NULL,FALSE,75566
Histopathology,NULL,FALSE,75567
Histopathology,NULL,FALSE,75568
Histopathology,NULL,FALSE,75569
Histopathology,NULL,FALSE,75570
Histopathology,NULL,FALSE,75571
Histopathology,NULL,FALSE,75572
Histopathology,NULL,FALSE,75573
Histopathology,NULL,FALSE,75574
Histopathology,NULL,FALSE,75575
Histopathology,NULL,FALSE,75576
Histopathology,NULL,FALSE,75577
Histopathology,NULL,FALSE,75578
Histopathology,NULL,FALSE,75579
Histopathology,NULL,FALSE,75580
Histopathology,NULL,FALSE,75581
Histopathology,NULL,FALSE,75582
Histopathology,NULL,FALSE,75583
Histopathology,NULL,FALSE,75584
Histopathology,NULL,FALSE,75585
Histopathology,NULL,FALSE,75586
Histopathology,NULL,FALSE,75587
Histopathology,NULL,FALSE,75588
Histopathology,NULL,FALSE,75589
Histopathology,NULL,FALSE,75590
Histopathology,NULL,FALSE,75591
Histopathology,NULL,FALSE,75592
Histopathology,NULL,FALSE,75593
Histopathology,NULL,FALSE,75594
Histopathology,NULL,FALSE,75595
Histopathology,NULL,FALSE,75596
Histopathology,NULL,FALSE,75597
Histopathology,NULL,FALSE,75598
Histopathology,NULL,FALSE,75599
Histopathology,NULL,FALSE,75600
Histopathology,NULL,FALSE,75601
Histopathology,NULL,FALSE,75602
Histopathology,NULL,FALSE,75603
Histopathology,NULL,FALSE,75604
Histopathology,NULL,FALSE,75605
Histopathology,NULL,FALSE,75606
Histopathology,NULL,FALSE,75607
Histopathology,NULL,FALSE,75608
Histopathology,NULL,FALSE,75609
Histopathology,NULL,FALSE,75610
Histopathology,NULL,FALSE,75611
Histopathology,NULL,FALSE,75612
Histopathology,NULL,FALSE,75613
Histopathology,NULL,FALSE,75614
Histopathology,NULL,FALSE,75615
Histopathology,NULL,FALSE,75616
Histopathology,NULL,FALSE,75617
Histopathology,NULL,FALSE,75618
Histopathology,NULL,FALSE,75619
Histopathology,NULL,FALSE,75620
Histopathology,NULL,FALSE,75621
Histopathology,NULL,FALSE,75622
Histopathology,NULL,FALSE,75623
Histopathology,NULL,FALSE,75624
Histopathology,NULL,FALSE,75625
Histopathology,NULL,FALSE,75626
Histopathology,NULL,FALSE,75627
Histopathology,NULL,FALSE,75628
Histopathology,NULL,FALSE,75629
Histopathology,NULL,FALSE,75630
Histopathology,NULL,FALSE,75631
Histopathology,NULL,FALSE,75632
Histopathology,NULL,FALSE,75633
Histopathology,NULL,FALSE,75634
Histopathology,NULL,FALSE,75635
Histopathology,NULL,FALSE,75636
Histopathology,NULL,FALSE,75637
Histopathology,NULL,FALSE,75638
Histopathology,NULL,FALSE,75639
Histopathology,NULL,FALSE,75640
Histopathology,NULL,FALSE,75641
Histopathology,NULL,FALSE,75642
Histopathology,NULL,FALSE,75643
Histopathology,NULL,FALSE,75644
Histopathology,NULL,FALSE,75645
Histopathology,NULL,FALSE,75646
Histopathology,NULL,FALSE,75647
Histopathology,NULL,FALSE,75648
Histopathology,NULL,FALSE,75649
Histopathology,NULL,FALSE,75650
Histopathology,NULL,FALSE,75651
Histopathology,NULL,FALSE,75652
Histopathology,NULL,FALSE,75653
Histopathology,NULL,FALSE,75654
Histopathology,NULL,FALSE,75655
Histopathology,NULL,FALSE,75656
Histopathology,NULL,FALSE,75657
Histopathology,NULL,FALSE,75658
Histopathology,NULL,FALSE,75659
Histopathology,NULL,FALSE,75660
Histopathology,NULL,FALSE,75661
Histopathology,NULL,FALSE,75662
Histopathology,NULL,FALSE,75663
Histopathology,NULL,FALSE,75664
Histopathology,NULL,FALSE,75665
Histopathology,NULL,FALSE,75666
Histopathology,NULL,FALSE,75667
Histopathology,NULL,FALSE,75668
Histopathology,NULL,FALSE,75669
Histopathology,NULL,FALSE,75670
Histopathology,NULL,FALSE,75671
Histopathology,NULL,FALSE,75672
Histopathology,NULL,FALSE,75673
Histopathology,NULL,FALSE,75674
Histopathology,NULL,FALSE,75675
Histopathology,NULL,FALSE,75676
Histopathology,NULL,FALSE,75677
Histopathology,NULL,FALSE,75678
Histopathology,NULL,FALSE,75679
Histopathology,NULL,FALSE,75680
Histopathology,NULL,FALSE,75681
Histopathology,NULL,FALSE,75682
Histopathology,NULL,FALSE,75683
Histopathology,NULL,FALSE,75684
Histopathology,NULL,FALSE,75685
Histopathology,NULL,FALSE,75686
Histopathology,NULL,FALSE,75687
Histopathology,NULL,FALSE,75688
Histopathology,NULL,FALSE,75689
Histopathology,NULL,FALSE,75690
Histopathology,NULL,FALSE,75691
Histopathology,NULL,FALSE,75692
Histopathology,NULL,FALSE,75693
Histopathology,NULL,FALSE,75694
Histopathology,NULL,FALSE,75695
Histopathology,NULL,FALSE,75696
Histopathology,NULL,FALSE,75697
Histopathology,NULL,FALSE,75698
Histopathology,NULL,FALSE,75699
Histopathology,NULL,FALSE,75700
Histopathology,NULL,FALSE,75701
Histopathology,NULL,FALSE,75702
Histopathology,NULL,FALSE,75703
Histopathology,NULL,FALSE,75704
Histopathology,NULL,FALSE,75705
Histopathology,NULL,FALSE,75706
Histopathology,NULL,FALSE,75707
Histopathology,NULL,FALSE,75708
Histopathology,NULL,FALSE,75709
Histopathology,NULL,FALSE,75710
Histopathology,NULL,FALSE,75711
Histopathology,NULL,FALSE,75712
Histopathology,NULL,FALSE,75713
Histopathology,NULL,FALSE,75714
Histopathology,NULL,FALSE,75715
Histopathology,NULL,FALSE,75716
Histopathology,NULL,FALSE,75717
Histopathology,NULL,FALSE,75718
Histopathology,NULL,FALSE,75719
Histopathology,NULL,FALSE,75720
Histopathology,NULL,FALSE,75721
Histopathology,NULL,FALSE,75722
Histopathology,NULL,FALSE,75723
Histopathology,NULL,FALSE,75724
Histopathology,NULL,FALSE,75725
Histopathology,NULL,FALSE,75726
Histopathology,NULL,FALSE,75727
Histopathology,NULL,FALSE,75728
Histopathology,NULL,FALSE,75729
Histopathology,NULL,FALSE,75730
Histopathology,NULL,FALSE,75731
Histopathology,NULL,FALSE,75732
Histopathology,NULL,FALSE,75733
Histopathology,NULL,FALSE,75734
Histopathology,NULL,FALSE,75735
Histopathology,NULL,FALSE,75736
Histopathology,NULL,FALSE,75737
Histopathology,NULL,FALSE,75738
Histopathology,NULL,FALSE,75739
Histopathology,NULL,FALSE,75740
Histopathology,NULL,FALSE,75741
Histopathology,NULL,FALSE,75742
Histopathology,NULL,FALSE,75743
Histopathology,NULL,FALSE,75744
Histopathology,NULL,FALSE,75745
Histopathology,NULL,FALSE,75746
Histopathology,NULL,FALSE,75747
Histopathology,NULL,FALSE,75748
Histopathology,NULL,FALSE,75749
Histopathology,NULL,FALSE,75750
Histopathology,NULL,FALSE,75751
Histopathology,NULL,FALSE,75752
Histopathology,NULL,FALSE,75753
Histopathology,NULL,FALSE,75754
Histopathology,NULL,FALSE,75755
Histopathology,NULL,FALSE,75756
Histopathology,NULL,FALSE,75757
Histopathology,NULL,FALSE,75758
Histopathology,NULL,FALSE,75759
Histopathology,NULL,FALSE,75760
Histopathology,NULL,FALSE,75761
Histopathology,NULL,FALSE,75762
Histopathology,NULL,FALSE,75763
Histopathology,NULL,FALSE,75764
Histopathology,NULL,FALSE,75765
Histopathology,NULL,FALSE,75766
Histopathology,NULL,FALSE,75767
Histopathology,NULL,FALSE,75768
Histopathology,NULL,FALSE,75769
Histopathology,NULL,FALSE,75770
Histopathology,NULL,FALSE,75771
Histopathology,NULL,FALSE,75772
Histopathology,NULL,FALSE,75773
Histopathology,NULL,FALSE,75774
Histopathology,NULL,FALSE,75775
Histopathology,NULL,FALSE,75776
Histopathology,NULL,FALSE,75777
Histopathology,NULL,FALSE,75778
Histopathology,NULL,FALSE,75779
Histopathology,NULL,FALSE,75780
Histopathology,NULL,FALSE,75781
Histopathology,NULL,FALSE,75782
Histopathology,NULL,FALSE,75783
Histopathology,NULL,FALSE,75784
Histopathology,NULL,FALSE,75785
Histopathology,NULL,FALSE,75786
Histopathology,NULL,FALSE,75787
Histopathology,NULL,FALSE,75788
Histopathology,NULL,FALSE,75789
Histopathology,NULL,FALSE,75790
Histopathology,NULL,FALSE,75791
Histopathology,NULL,FALSE,75792
Histopathology,NULL,FALSE,75793
Histopathology,NULL,FALSE,75794
Histopathology,NULL,FALSE,75795
Histopathology,NULL,FALSE,75796
Histopathology,NULL,FALSE,75797
Histopathology,NULL,FALSE,75798
Histopathology,NULL,FALSE,75799
Histopathology,NULL,FALSE,75800
Histopathology,NULL,FALSE,75801
Histopathology,NULL,FALSE,75802
Histopathology,NULL,FALSE,75803
Histopathology,NULL,FALSE,75804
Histopathology,NULL,FALSE,75805
Histopathology,NULL,FALSE,75806
Histopathology,NULL,FALSE,75807
Histopathology,NULL,FALSE,75808
Histopathology,NULL,FALSE,75809
Histopathology,NULL,FALSE,75810
Histopathology,NULL,FALSE,75811
Histopathology,NULL,FALSE,75812
Histopathology,NULL,FALSE,75813
Histopathology,NULL,FALSE,75814
Histopathology,NULL,FALSE,75815
Histopathology,NULL,FALSE,75816
Histopathology,NULL,FALSE,75817
Histopathology,NULL,FALSE,75818
Histopathology,NULL,FALSE,75819
Histopathology,NULL,FALSE,75820
Histopathology,NULL,FALSE,75821
Histopathology,NULL,FALSE,75822
Histopathology,NULL,FALSE,75823
Histopathology,NULL,FALSE,75824
Histopathology,NULL,FALSE,75825
Histopathology,NULL,FALSE,75826
Histopathology,NULL,FALSE,75827
Histopathology,NULL,FALSE,75828
Histopathology,NULL,FALSE,75829
Histopathology,NULL,FALSE,75830
Histopathology,NULL,FALSE,75831
Histopathology,NULL,FALSE,75832
Histopathology,NULL,FALSE,75833
Histopathology,NULL,FALSE,75834
Histopathology,NULL,FALSE,75835
Histopathology,NULL,FALSE,75836
Histopathology,NULL,FALSE,75837
Histopathology,NULL,FALSE,75838
Histopathology,NULL,FALSE,75839
Histopathology,NULL,FALSE,75840
Histopathology,NULL,FALSE,75841
Histopathology,NULL,FALSE,75842
Histopathology,NULL,FALSE,75843
Histopathology,NULL,FALSE,75844
Histopathology,NULL,FALSE,75845
Histopathology,NULL,FALSE,75846
Histopathology,NULL,FALSE,75847
Histopathology,NULL,FALSE,75848
Histopathology,NULL,FALSE,75849
Histopathology,NULL,FALSE,75850
Histopathology,NULL,FALSE,75851
Histopathology,NULL,FALSE,75852
Histopathology,NULL,FALSE,75853
Histopathology,NULL,FALSE,75854
Histopathology,NULL,FALSE,75855
Histopathology,NULL,FALSE,75856
Histopathology,NULL,FALSE,75857
Histopathology,NULL,FALSE,75858
Histopathology,NULL,FALSE,75859
Histopathology,NULL,FALSE,75860
Histopathology,NULL,FALSE,75861
Histopathology,NULL,FALSE,75862
Histopathology,NULL,FALSE,75863
Histopathology,NULL,FALSE,75864
Histopathology,NULL,FALSE,75865
Histopathology,NULL,FALSE,75866
Histopathology,NULL,FALSE,75867
Histopathology,NULL,FALSE,75868
Histopathology,NULL,FALSE,75869
Histopathology,NULL,FALSE,75870
Histopathology,NULL,FALSE,75871
Histopathology,NULL,FALSE,75872
Histopathology,NULL,FALSE,75873
Histopathology,NULL,FALSE,75874
Histopathology,NULL,FALSE,75875
Histopathology,NULL,FALSE,75876
Histopathology,NULL,FALSE,75877
Histopathology,NULL,FALSE,75878
Histopathology,NULL,FALSE,75879
Histopathology,NULL,FALSE,75880
Histopathology,NULL,FALSE,75881
Histopathology,NULL,FALSE,75882
Histopathology,NULL,FALSE,75883
Histopathology,NULL,FALSE,75884
Histopathology,NULL,FALSE,75885
Histopathology,NULL,FALSE,75886
Histopathology,NULL,FALSE,75887
Histopathology,NULL,FALSE,75888
Histopathology,NULL,FALSE,75889
Histopathology,NULL,FALSE,75890
Histopathology,NULL,FALSE,75891
Histopathology,NULL,FALSE,75892
Histopathology,NULL,FALSE,85609
Welfare Observations,The Welfare Observations procedure is used for the recording of welfare issues as and when they occur.,FALSE,67597
Welfare Observations,The Welfare Observations procedure is used for the recording of welfare issues as and when they occur.,FALSE,67598
Welfare Observations,The Welfare Observations procedure is used for the recording of welfare issues as and when they occur.,FALSE,67599
Welfare Observations,The Welfare Observations procedure is used for the recording of welfare issues as and when they occur.,FALSE,67600
Welfare Observations,The Welfare Observations procedure is used for the recording of welfare issues as and when they occur.,FALSE,74120
Gross Morphology Embryo E9.5,NULL,FALSE,42538
Gross Morphology Embryo E9.5,NULL,FALSE,42539
Gross Morphology Embryo E9.5,NULL,FALSE,42540
Gross Morphology Embryo E9.5,NULL,FALSE,42541
Gross Morphology Embryo E9.5,NULL,FALSE,42542
Gross Morphology Embryo E9.5,NULL,FALSE,42543
Gross Morphology Embryo E9.5,NULL,FALSE,42544
Gross Morphology Embryo E9.5,NULL,FALSE,42545
Gross Morphology Embryo E9.5,NULL,FALSE,42546
Gross Morphology Embryo E9.5,NULL,FALSE,42547
Gross Morphology Embryo E9.5,NULL,FALSE,42548
Gross Morphology Embryo E9.5,NULL,FALSE,42549
Gross Morphology Embryo E9.5,NULL,FALSE,42550
Gross Morphology Embryo E9.5,NULL,FALSE,42551
Gross Morphology Embryo E9.5,NULL,FALSE,42552
Gross Morphology Embryo E9.5,NULL,FALSE,42553
Gross Morphology Embryo E9.5,NULL,FALSE,42554
Gross Morphology Embryo E9.5,NULL,FALSE,42555
Gross Morphology Embryo E9.5,NULL,FALSE,42556
Gross Morphology Embryo E9.5,NULL,FALSE,42557
Gross Morphology Embryo E9.5,NULL,FALSE,42558
Gross Morphology Embryo E9.5,NULL,FALSE,42559
Gross Morphology Embryo E9.5,NULL,FALSE,42560
Gross Morphology Embryo E9.5,NULL,FALSE,42561
Gross Morphology Embryo E9.5,NULL,FALSE,42562
Gross Morphology Embryo E9.5,NULL,FALSE,42563
Gross Morphology Embryo E9.5,NULL,FALSE,42564
Gross Morphology Embryo E9.5,NULL,FALSE,42565
Gross Morphology Embryo E9.5,NULL,FALSE,42566
Gross Morphology Embryo E9.5,NULL,FALSE,42567
Gross Morphology Embryo E9.5,NULL,FALSE,42568
Gross Morphology Embryo E9.5,NULL,FALSE,42569
Gross Morphology Embryo E9.5,NULL,FALSE,42570
Gross Morphology Embryo E9.5,NULL,FALSE,42571
Gross Morphology Embryo E9.5,NULL,FALSE,42572
Gross Morphology Embryo E9.5,NULL,FALSE,42573
Gross Morphology Embryo E9.5,NULL,FALSE,42574
Gross Morphology Embryo E9.5,NULL,FALSE,42575
Gross Morphology Embryo E9.5,NULL,FALSE,42576
Gross Morphology Embryo E9.5,NULL,FALSE,42577
Gross Morphology Embryo E9.5,NULL,FALSE,42578
Gross Morphology Embryo E9.5,NULL,FALSE,42579
Housing and Husbandry,Housing_and_husbandry,FALSE,89677
Housing and Husbandry,Housing_and_husbandry,FALSE,89678
Housing and Husbandry,Housing_and_husbandry,FALSE,89679
Housing and Husbandry,Housing_and_husbandry,FALSE,89680
Housing and Husbandry,Housing_and_husbandry,FALSE,89681
Housing and Husbandry,Housing_and_husbandry,FALSE,89682
Housing and Husbandry,Housing_and_husbandry,FALSE,89683
Housing and Husbandry,Housing_and_husbandry,FALSE,89684
Housing and Husbandry,Housing_and_husbandry,FALSE,89685
Housing and Husbandry,Housing_and_husbandry,FALSE,89686
Housing and Husbandry,Housing_and_husbandry,FALSE,89687
