impcParameterOrigId,name,description,parameterId
27610, Bone, bone, IMPC_ALZ_043_001
27611, Cecum, cecum, IMPC_ALZ_044_001
27612, Colon, colon, IMPC_ALZ_045_001
27613, Duodenum, duodenum, IMPC_ALZ_046_001
27614, Ileum, ileum, IMPC_ALZ_047_001
27615, Jejunum, jejunum, IMPC_ALZ_048_001
27616, Gonadal fat pad, adipose_gonad, IMPC_ALZ_049_001
27617, Bone  Marrow, bone_marrow, IMPC_ALZ_050_001
27618, Vas Deferens, vas_deferens, IMPC_ALZ_051_001
27619, Brown adipose tissue, adipose_brown, IMPC_ALZ_052_001
27620, Mesenteric adipose tissue, adipose_mesenteric, IMPC_ALZ_053_001
27621, Blood, blood_smear, IMPC_ALZ_054_001
27622, Diaphragm, diaphragm, IMPC_ALZ_055_001
27623, Gall Bladder, gall_bladder, IMPC_ALZ_056_001
27624, Harderian Gland, hardarian_gland, IMPC_ALZ_057_001
27625, Hindlimb, hind_limb, IMPC_ALZ_058_001
27626, Quadriceps, muscle_quad, IMPC_ALZ_059_001
27627, Parathyroid gland, parathyroid, IMPC_ALZ_060_001
27628, Parotid gland, parotid_gland, IMPC_ALZ_061_001
27629, Penis, penis, IMPC_ALZ_062_001
27630, Stomach pyloric region, pylorus, IMPC_ALZ_063_001
27631, Chest bone, ribcage, IMPC_ALZ_064_001
27632, Sciatic nerve, sciatic_nerve_quad, IMPC_ALZ_065_001
27633, Cranium, skull, IMPC_ALZ_066_001
27634, Sublingual Gland, sublingual_gland, IMPC_ALZ_067_001
27635, Submandibular Gland, submandibular_gland, IMPC_ALZ_068_001
27636, Tongue, tongue, IMPC_ALZ_069_001
27637, Trigeminal V nerve, trigeminal_nerve, IMPC_ALZ_070_001
27638, Vagina, vagina, IMPC_ALZ_071_001
27639, Vesicular Gland, vesicular_gland, IMPC_ALZ_072_001
27640, Mesenteric Lymph Node, mesenteric_lymph_node, IMPC_ALZ_073_001
27641, Oral epithelium, oral_epithelia, IMPC_ALZ_074_001
27642, LacZ Images Section, lacz_images_section, IMPC_ALZ_075_001
27643, LacZ Images Wholemount, lacz_images_wholemount, IMPC_ALZ_076_001
27644, Free Ontology, free_ontology, IMPC_ALZ_077_001
27645, Free Ontology Annotation reason, free_ontology_annotation_reason, IMPC_ALZ_078_001
27646, Free text comment, free_text_comment, IMPC_ALZ_079_001
27647, Microscope equipment id, microscope_equipment_id, IMPC_ALZ_080_001
27648, Microscope equipment manufacturer, microscope_equipment_manufacturer, IMPC_ALZ_081_001
27649, Microscope equipment model, microscope_equipment_model, IMPC_ALZ_082_001
27650, Date Microscope last calibrated, date_microscope_last_calibrated, IMPC_ALZ_083_001
27651, Detector equipment manufacturer, detector_equipment_manufacturer, IMPC_ALZ_084_001
27652, Detector equipment model, detector_equipment_model, IMPC_ALZ_085_001
27653, Objective equipment company, objective_equipment_company, IMPC_ALZ_086_001
27654, Objective equipment model, objective_equipment_model, IMPC_ALZ_087_001
27655, Objective magnification, objective_magnification, IMPC_ALZ_088_001
27656, Illumination source manufacturer, illumination_source_manufacturer, IMPC_ALZ_089_001
27657, Illumination source model, illumination_source_model, IMPC_ALZ_090_001
27658, Sample preparation stain name, sample_preparation_stain_name, IMPC_ALZ_091_001
27659, Sample preparation reference impc, sample_preparation_reference_impc, IMPC_ALZ_092_001
27660, Bit Depth, bit_depth, IMPC_ALZ_093_001
27661, Colorspace, colorspace, IMPC_ALZ_094_001
27662, Experimental category, experimental_category, IMPC_ALZ_095_001
27663, Orientation, orientation, IMPC_ALZ_096_001
27664, Pixels per millimeter before processing, pixels_per_millimeter_before_processing, IMPC_ALZ_097_001
27665, Pixels per millimeter after processing, pixels_per_millimeter_after_processing, IMPC_ALZ_098_001
27666, Showcase image, showcase_image, IMPC_ALZ_099_001
27667, Date of Sacrifice, date_of_sacrifice, IMPC_ALZ_100_001
27668, Date of Perfusion, date_of_perfusion, IMPC_ALZ_101_001
27669, Epididymis, , IMPC_ALZ_102_001
27670, Main olfactory bulb, NA, IMPC_ALZ_103_001
27671, Midbrain, , IMPC_ALZ_104_001
27672, Thalamus, , IMPC_ALZ_105_001
44496, Alive, alive, IMPC_GEO_001_001
44497, Scored, scored, IMPC_GEO_002_001
44498, Cardiovascular System, cardiovascular_system, IMPC_GEO_003_001
44499, Cardiovascular Development, cardiovascular_development, IMPC_GEO_004_001
44500, Heart Development, heart_development, IMPC_GEO_005_001
44501, Outflow tract development, outflow_tract_development, IMPC_GEO_006_001
44502, Heart Morphology, heart_morphology, IMPC_GEO_008_001
44503, Blood Vessel Morphology, blood_vessel_morphology, IMPC_GEO_011_001
44504, Developmental Vascular Remodelling, developmental_vascular_remodelling, IMPC_GEO_012_001
44505, Craniofacial, craniofacial, IMPC_GEO_013_001
44506, Craniofacial Development, craniofacial_development, IMPC_GEO_014_001
44507, Head shape, head_shape, IMPC_GEO_015_001
44508, Head size, head_size, IMPC_GEO_016_001
44509, Embryo Size, embryo_size, IMPC_GEO_019_001
44510, Body wall morphology, body_wall_morphology, IMPC_GEO_020_001
44511, Hearing/Vestibular/Ear, hearing_vestibular_ear, IMPC_GEO_021_001
44512, Ear Morphology, abnormal_ear_morphology, IMPC_GEO_022_001
44513, Ear Development, ear_development, IMPC_GEO_023_001
44514, Homeostasis/metabolism, homeostasis_metabolism, IMPC_GEO_024_001
44515, Integument, integument, IMPC_GEO_027_001
44516, Vibrissa Morphology, vibrissa_morphology, IMPC_GEO_028_001
44517, Skin Appearance, skin_appearance, IMPC_GEO_029_001
44518, Skin Coloration, skin_coloration, IMPC_GEO_030_001
44519, Limb Bud Morphology, limb_bud_morphology, IMPC_GEO_031_001
44520, Limb Plate Morphology, limb_plate_morphology, IMPC_GEO_032_001
44521, Tail Morphology, tail_morphology, IMPC_GEO_033_001
44522, Liver/Biliary, liver_biliary, IMPC_GEO_035_001
44523, Liver Morphology, liver_morphology, IMPC_GEO_036_001
44524, Liver Size, liver_size, IMPC_GEO_037_001
44525, Nervous System, nervous_system, IMPC_GEO_039_001
44526, Brain Development, brain_development, IMPC_GEO_040_001
44527, Vision/Eye, vision_eye, IMPC_GEO_044_001
44528, Eye Morphology, eye_morphology, IMPC_GEO_045_001
44529, Eye Size, eye_size, IMPC_GEO_046_001
44530, Comment on image, comment_on_image, IMPC_GEO_049_001
44531, Images, images, IMPC_GEO_050_001
44532, Experimenter ID, experimenter_id, IMPC_GEO_051_001
44533, Equipment ID, equipment_id, IMPC_GEO_052_001
44534, Equipment Manufacturer, equipment_manufacturer, IMPC_GEO_053_001
44535, Equipment Model, equipment_model, IMPC_GEO_054_001
44536, Fixative, fixative, IMPC_GEO_055_001
44537, Time of Dissection, time_of_dissection, IMPC_GEO_056_001
44538, Somite Stage, somite_stage, IMPC_GEO_057_001
44539, Time of dark cycle start, time_of_dark_cycle_start, IMPC_GEO_058_001
44540, Time of dark cycle end, time_of_dark_cycle_end, IMPC_GEO_059_001
44541, Date equipment last calibrated, date_equipment_last_calibrated, IMPC_GEO_060_001
44542, Absent heartbeat, absent_heartbeat, IMPC_GEO_007_002
44543, Hemorrhage, hemorrhage, IMPC_GEO_009_002
44544, Skin Hemorrhage, skin_hemorrhage, IMPC_GEO_010_002
44545, Facial Cleft, facial_cleft, IMPC_GEO_017_002
44546, Cleft Palate, cleft_palate, IMPC_GEO_018_002
44547, Hydrops fetalis (fetal adema), hydrops_fetalis_fetal_adema, IMPC_GEO_025_002
44548, Gastroschisis (herniated abdominal wall), gastroschisis_herniated_abdominal_wall, IMPC_GEO_026_002
44549, Polydactyly, polydactyly, IMPC_GEO_034_002
44550, Pale Liver, pale_liver, IMPC_GEO_038_002
44551, Exencephaly, exencephaly, IMPC_GEO_041_002
44552, Holoprosencephaly, holoprosencephaly, IMPC_GEO_042_002
44553, spina bifida, spina_bifida, IMPC_GEO_043_002
44554, Microphthalmia, microphthalmia, IMPC_GEO_047_002
44555, Anophthalmia, anophthalmia, IMPC_GEO_048_002
44556, Severely Dysmorphic, NA, IMPC_GEO_061_001
36688, Outcome, , IMPC_EVP_001_001
36689, Decision, , IMPC_EVP_002_001
36690, Comment on Decision (in English), , IMPC_EVP_003_001
36691, Total embryos, , IMPC_EVP_004_001
36692, Total embryos heterozygous, , IMPC_EVP_005_001
36693, Total embryos homozygous, , IMPC_EVP_006_001
36694, Total dead embryos, , IMPC_EVP_007_001
36695, Total dead WT, , IMPC_EVP_008_001
36696, Total dead heterozygous, , IMPC_EVP_009_001
36697, Total dead homozygous, , IMPC_EVP_010_001
36698, Total gross defect at dissection (alive or dead) embryos, NA, IMPC_EVP_011_001
36699, Total gross defect at dissection (alive or dead) WT, NA, IMPC_EVP_012_001
36700, Total gross defect at dissection (alive or dead) heterozygous, NA, IMPC_EVP_013_001
36701, Total gross defect at dissection (alive or dead) homozygous, NA, IMPC_EVP_014_001
36702, Number of reabsorptions, , IMPC_EVP_015_001
36703, Average Litter Size, , IMPC_EVP_016_001
36704, % embryos WT, NA, IMPC_EVP_017_001
36705, % embryos heterozygous, NA, IMPC_EVP_018_001
36706, % embryos homozygous, NA, IMPC_EVP_019_001
36707, Time of dark cycle start, , IMPC_EVP_020_001
36708, Time of dark cycle end, , IMPC_EVP_021_001
36709, Embryo medium, , IMPC_EVP_022_001
36710, Total embryos WT, , IMPC_EVP_023_001
36711, Total live embryos, NA, IMPC_EVP_024_001
36712, Total live heterozygous, NA, IMPC_EVP_025_001
36713, Total live WT, NA, IMPC_EVP_026_001
36714, Total live homozygous, NA, IMPC_EVP_027_001
89677, Pipeline ID(s), pipeline_ids_applicable_to_housing_conditions, IMPC_HOU_003_002
89678, Date effective from, date_effective_from, IMPC_HOU_004_002
89679, Date effective until, date_effective_until, IMPC_HOU_005_002
89680, Housing - temperature regulated, housing_temperature_regulated, IMPC_HOU_009_001
89681, Housing - temperature range, housing_temperature_range, IMPC_HOU_068_001
89682, Housing - relative humidity regulated, housing_relative_humidity_regulated, IMPC_HOU_012_001
89683, Housing - relative humidity range , housing_relative_humidity_range, IMPC_HOU_069_001
89684, Housing - ventilation managed, housing_ventilation_managed, IMPC_HOU_015_001
89685, Housing - air changes per hour in the room (range), housing_air_changes_per_hour_in_the_room_range, IMPC_HOU_070_001
89686, Housing - IVC ventilation, housing_ivc_ventilation, IMPC_HOU_019_001
89687, Housing - air changes per hour in the IVC unit (range), housing_ivc_ventilation_managed, IMPC_HOU_071_001
89688, Housing - light source, housing_light_source, IMPC_HOU_023_001
89689, Housing - light intensity (range), housing_light_intensity_range, IMPC_HOU_072_001
89690, Housing - time lights switched on, housing_time_lights_switched_on, IMPC_HOU_027_001
89691, Housing - time lights switched off, housing_time_lights_switched_off, IMPC_HOU_028_001
89692, Housing - cage manufacturer, housing_cage_manufacturer, IMPC_HOU_073_001
89693, Housing - cage model, housing_cage_model, IMPC_HOU_074_001
89694, Housing - Racking system manufacturer, housing_rack_system_manufacturer, IMPC_HOU_075_001
89695, Housing - cage dimensions (L x W x H in mm) , housing_cage_dimensions_lxwxh, IMPC_HOU_076_001
89696, Housing - animals per cage - Female maximum, housing_female_animals_per_cage_max, IMPC_HOU_077_001
89697, Housing - animals per cage - Female minimum, housing_female_animals_per_cage_min, IMPC_HOU_078_001
89698, Housing - animals per cage - Male maximum, housing_male_animals_per_cage_max, IMPC_HOU_079_001
89699, Housing - animals per cage - Male minimum, housing_male_animals_per_cage_min, IMPC_HOU_080_001
89700, Housing - bedding type, housing_bedding_type, IMPC_HOU_035_002
89701, Housing - bedding pre-treatment, housing_bedding_pre_treatment, IMPC_HOU_036_001
89702, Housing - cage enrichment, housing_cage_enrichment, IMPC_HOU_037_002
89703, Housing - frequency of cage cleaning, housing_frequency_of_cage_cleaning, IMPC_HOU_038_001
89704, Housing - frequency of handling (excluding phenotyping), housing_frequency_of_handling, IMPC_HOU_039_002
89705, Housing - frequency of animal welfare assessments, housing_frequency_of_animal_welfare_assessments, IMPC_HOU_081_001
89706, Nutrition - supplier of diet, nutrition_diet_supplier, IMPC_HOU_082_001
89707, Nutrition - product ID of diet, nutrition_product_id, IMPC_HOU_083_001
89708, Nutrition - diet type, nutrition_diet_type, IMPC_HOU_041_001
89709, Nutrition - average composition (based on mass) - Carbohydrate, nutrition_average_composition_based_on_mass_carbohydrate, IMPC_HOU_043_002
89710, Nutrition - average composition (based on mass) - Fat, nutrition_average_composition_based_on_mass_fat, IMPC_HOU_044_002
89711, Nutrition - average composition (based on mass) - Protein, nutrition_average_composition_based_on_mass_protein, IMPC_HOU_045_002
89712, Nutrition - feeding regime (excluding fasting periods), nutrition_feeding_regime_excluding_fasting_periods, IMPC_HOU_050_001
89713, Nutrition - source of lipids, nutrition_source_of_lipids, IMPC_HOU_051_002
89714, Water - pre-treatment, water_pre_treatment, IMPC_HOU_053_002
89715, Water - schedule (quantity), water_schedule_quantity, IMPC_HOU_054_001
89716, Water - supply method, water_supply_method, IMPC_HOU_055_001
89717, Microbiological status - status of your centre, microbiological_status_status_of_your_centre, IMPC_HOU_056_001
89718, Microbiological status - pathogens testing frequency, microbiological_testing_frequency, IMPC_HOU_084_001
89719, Phenotyping lifestage, phenotyping_lifestage, IMPC_HOU_085_001
89720, Water - quality monitored, water_quality_monitored, IMPC_HOU_052_001
90854, Submission Identifier, , IMPC_HOU_086_001
44811, Alive, alive, IMPC_GEP_001_001
44812, Scored, scored, IMPC_GEP_002_001
44813, Behavior/neurological, behavior_neurological, IMPC_GEP_003_001
44814, Cardiovascular System, cardiovascular_system, IMPC_GEP_006_001
44815, Cardiovascular Development, cardiovascular_development, IMPC_GEP_007_001
44816, Heart Development, heart_development, IMPC_GEP_008_001
44817, Outflow tract development, outflow_tract_development, IMPC_GEP_009_001
44818, Heart Morphology, heart_morphology, IMPC_GEP_010_001
44819, Blood Vessel Morphology, blood_vessel_morphology, IMPC_GEP_013_001
44820, Craniofacial, craniofacial, IMPC_GEP_014_001
44821, Head shape, head_shape, IMPC_GEP_015_001
44822, Head size, head_size, IMPC_GEP_016_001
44823, Facial Morphology, facial_morphology, IMPC_GEP_017_001
44824, Digestive/alimentary, digestive_alimentary, IMPC_GEP_020_001
44825, Digestive System Morphology, digestive_system_morphology, IMPC_GEP_021_001
44826, Embryo Size, embryo_size, IMPC_GEP_022_001
44827, Embryo weight, embryo_weight, IMPC_GEP_023_001
44828, Body wall morphology, body_wall_morphology, IMPC_GEP_024_001
44829, Hearing/Vestibular/Ear, hearing_vestibular_ear, IMPC_GEP_025_001
44830, Outer ear morpholgy, outer_ear_morpholgy, IMPC_GEP_026_001
44831, Ear Development, ear_development, IMPC_GEP_027_001
44832, Homeostasis/metabolism, homeostasis_metabolism, IMPC_GEP_028_001
44833, Integument, integument, IMPC_GEP_032_001
44834, Vibrissa Morphology, vibrissa_morphology, IMPC_GEP_033_001
44835, Skin Appearance, skin_appearance, IMPC_GEP_034_001
44836, Skin Coloration, skin_coloration, IMPC_GEP_036_001
44837, Limb Morphology, limb_morphology, IMPC_GEP_037_001
44838, Tail Morphology, tail_morphology, IMPC_GEP_038_001
44839, Liver/Biliary, liver_biliary, IMPC_GEP_040_001
44840, Liver Morphology, liver_morphology, IMPC_GEP_041_001
44841, Liver Size, liver_size, IMPC_GEP_042_001
44842, Muscle, muscle, IMPC_GEP_043_001
44843, Diaphragm Morphology, diaphragm_morphology, IMPC_GEP_044_001
44844, Nervous System, nervous_system, IMPC_GEP_045_001
44845, Brain Development, brain_development, IMPC_GEP_046_001
44846, Renal/Urinary, renal_urinary, IMPC_GEP_050_001
44847, Kidney, kidney, IMPC_GEP_051_001
44848, Respiratory System, respiratory_system, IMPC_GEP_052_001
44849, Lung Morphology, lung_morphology, IMPC_GEP_053_001
44850, Lung Development, lung_development, IMPC_GEP_054_001
44851, Vision/Eye, vision_eye, IMPC_GEP_056_001
44852, Eye Morphology, eye_morphology, IMPC_GEP_057_001
44853, Eye Size, eye_size, IMPC_GEP_058_001
44854, Number of cervical vertebrae, number_of_cervical_vertebrae, IMPC_GEP_062_001
44855, Comment on image, comment_on_image, IMPC_GEP_063_001
44856, Images, images, IMPC_GEP_064_001
44857, Experimenter ID, experimenter_id, IMPC_GEP_065_001
44858, Equipment ID, equipment_id, IMPC_GEP_066_001
44859, Equipment Manufacturer, equipment_manufacturer, IMPC_GEP_067_001
44860, Equipment Model, equipment_model, IMPC_GEP_068_001
44861, Fixative, fixative, IMPC_GEP_069_001
44862, Time of Dissection, time_of_dissection, IMPC_GEP_070_001
44863, Somite Stage, somite_stage, IMPC_GEP_071_001
44864, Time of dark cycle start, time_of_dark_cycle_start, IMPC_GEP_072_001
44865, Time of dark cycle end, time_of_dark_cycle_end, IMPC_GEP_073_001
44866, Date equipment last calibrated, date_equipment_last_calibrated, IMPC_GEP_074_001
44867, Spontaneous movement, no_spontaneous_movement, IMPC_GEP_004_002
44868, Responsive to tactile stimuli, unresponsive_to_tactile_stimuli, IMPC_GEP_005_002
44869, Hemorrhage, hemorrhage, IMPC_GEP_011_002
44870, Skin Hemorrhage, skin_hemorrhage, IMPC_GEP_012_002
44871, Facial Cleft, facial_cleft, IMPC_GEP_018_002
44872, Cleft Palate, cleft_palate, IMPC_GEP_019_002
44873, Cyanosis, cyanosis, IMPC_GEP_029_002
44874, Edema, edema, IMPC_GEP_030_002
44875, Hydrops fetalis (fetal adema), hydrops_fetalis_fetal_adema, IMPC_GEP_031_002
44876, Pallor, pallor, IMPC_GEP_035_002
44877, Polydactyly, polydactyly, IMPC_GEP_039_002
44878, Exencephaly, exencephaly, IMPC_GEP_047_002
44879, Holoprosencephaly, holoprosencephaly, IMPC_GEP_048_002
44880, spina bifida, spina_bifida, IMPC_GEP_049_002
44881, Respiratory Failure, respiratory_failure, IMPC_GEP_055_002
44882, Microphthalmia, microphthalmia, IMPC_GEP_059_002
44883, Anophthalmia, anophthalmia, IMPC_GEP_060_002
44884, Failure of Eyelid Fusion, failure_of_eyelid_fusion, IMPC_GEP_061_002
44885, Severely Dysmorphic, NA, IMPC_GEP_075_001
73074, Embryo reconstruction, , IMPC_EMA_001_001
73075, Experimenter ID, NA, IMPC_EMA_002_001
73076, Equipment ID, NA, IMPC_EMA_003_001
73077, Equipment Manufacturer, NA, IMPC_EMA_004_001
73078, Equipment Model, NA, IMPC_EMA_005_001
73079, Equipment Version, NA, IMPC_EMA_006_001
73080, Image Pixel Size, NA, IMPC_EMA_007_001
73081, E18.5 MicroCT Preparation protocol, NA, IMPC_EMA_008_001
73082, Date equipment last calibrated, NA, IMPC_EMA_009_001
73083, Date of Sacrifice, NA, IMPC_EMA_010_001
73084, Date Preparation Finished, NA, IMPC_EMA_011_001
73085, Date of Scan, NA, IMPC_EMA_012_001
73086, Source Voltage, NA, IMPC_EMA_013_001
73087, Source Current, NA, IMPC_EMA_014_001
73088, Object to Source, NA, IMPC_EMA_015_001
73089, Camera to Source, NA, IMPC_EMA_016_001
73090, Screenshots, , IMPC_EMA_017_001
73091, Limb digits, , IMPC_EMA_018_001
73092, Tail, , IMPC_EMA_019_001
73093, Limbs, , IMPC_EMA_020_001
73094, Pinna, , IMPC_EMA_021_001
73095, Vibrissa, , IMPC_EMA_022_001
73096, Edema, , IMPC_EMA_023_001
73097, Embryo size, , IMPC_EMA_024_001
73098, Spinal Cord, , IMPC_EMA_025_001
73099, Spine curvature , , IMPC_EMA_026_001
73100, Craniofacial morphology, , IMPC_EMA_027_001
73101, Hindbrain subarachnoid space, , IMPC_EMA_028_001
73102, Midbrain roof plate, , IMPC_EMA_029_001
73103, Midbrain, , IMPC_EMA_030_001
73104, Cerebellum, , IMPC_EMA_031_001
73105, Cerebral cortex, , IMPC_EMA_032_001
73106, Thalamus, , IMPC_EMA_033_001
73107, Corpus striatum, , IMPC_EMA_034_001
73108, Hippocampus, , IMPC_EMA_035_001
73109, Hypothalamus, , IMPC_EMA_036_001
73110, Pineal gland, , IMPC_EMA_037_001
73111, Pons, , IMPC_EMA_038_001
73112, Medulla oblongata, , IMPC_EMA_039_001
73113, Lateral ventricles, , IMPC_EMA_040_001
73114, Lateral ventricle choroid plexus, , IMPC_EMA_041_001
73115, 4th ventricle choroid plexus, , IMPC_EMA_042_001
73116, 4th Ventricle, , IMPC_EMA_043_001
73117, Cerebral aqueduct, , IMPC_EMA_044_001
73118, Median sulcus, , IMPC_EMA_045_001
73119, 3rd ventricle, , IMPC_EMA_046_001
73120, Olfactory lobe, , IMPC_EMA_047_001
73121, Trigeminal ganglion, , IMPC_EMA_048_001
73122, Pituitary gland, , IMPC_EMA_049_001
73123, Spinal cord cervical region, , IMPC_EMA_050_001
73124, Dorsal root ganglion, , IMPC_EMA_051_001
73125, Cochlea, , IMPC_EMA_052_001
73126, Nasal septum, , IMPC_EMA_053_001
73127, Nasal cavity, , IMPC_EMA_054_001
73128, Nasopharynx, , IMPC_EMA_055_001
73129, Vomeronasal organ, , IMPC_EMA_056_001
73130, Oropharynx, , IMPC_EMA_057_001
73131, Oral cavity, , IMPC_EMA_058_001
73132, Optic nerve, , IMPC_EMA_059_001
73133, Intraretinal space, , IMPC_EMA_060_001
73134, Hyaloid cavity, , IMPC_EMA_061_001
73135, Cornea, , IMPC_EMA_062_001
73136, Lens, , IMPC_EMA_063_001
73137, Eyelids, , IMPC_EMA_064_001
73138, Temporal bone, , IMPC_EMA_065_001
73139, Pharyngo-tympanic tube, , IMPC_EMA_066_001
73140, Palate, , IMPC_EMA_067_001
73141, Epiglottis, , IMPC_EMA_068_001
73142, Tongue, , IMPC_EMA_069_001
73143, Mandible, , IMPC_EMA_070_001
73144, Lower jaw molar, , IMPC_EMA_071_001
73145, Upper jaw molar, , IMPC_EMA_072_001
73146, Sphenoid bone, , IMPC_EMA_073_001
73147, Thyroid gland, , IMPC_EMA_074_001
73148, Submandibular gland, , IMPC_EMA_075_001
73149, Brown fat, , IMPC_EMA_076_001
73150, Vertebrae, , IMPC_EMA_077_001
73151, Esophagus, , IMPC_EMA_078_001
73152, Clavicle, , IMPC_EMA_079_001
73153, Scapula, , IMPC_EMA_080_001
73154, Ulna, , IMPC_EMA_081_001
73155, Humerus, , IMPC_EMA_082_001
73156, Arytenoid cartilage, , IMPC_EMA_083_001
73157, Cricoid cartilage, , IMPC_EMA_084_001
73158, Trachea, , IMPC_EMA_085_001
73159, Carotid artery, , IMPC_EMA_086_001
73160, Thymus, , IMPC_EMA_087_001
73161, Sternum, , IMPC_EMA_088_001
73162, Rib, , IMPC_EMA_089_001
73163, T1 rib, , IMPC_EMA_090_001
73164, Vena cava, , IMPC_EMA_091_001
73165, Inferior vena cava, , IMPC_EMA_092_001
73166, Superior vena cava, , IMPC_EMA_093_001
73167, Jugular vein, , IMPC_EMA_094_001
73168, Ductus arteriosus, , IMPC_EMA_095_001
73169, Pulmonary valve, , IMPC_EMA_096_001
73170, Pulmonary trunk, , IMPC_EMA_097_001
73171, Dorsal aorta, , IMPC_EMA_098_001
73172, Ductus venosus, , IMPC_EMA_099_001
73173, Aorta, , IMPC_EMA_100_001
73174, Aortic valve, , IMPC_EMA_101_001
73175, Heart atrium, , IMPC_EMA_102_001
73176, Heart ventricle, , IMPC_EMA_103_001
73177, Tricuspid valve, , IMPC_EMA_104_001
73178, Mitral valve, , IMPC_EMA_105_001
73179, Interventricular septum, , IMPC_EMA_106_001
73180, Pericardial cavity, , IMPC_EMA_107_001
73181, Pericardium, , IMPC_EMA_108_001
73182, Main bronchus, , IMPC_EMA_109_001
73183, Bronchus, , IMPC_EMA_110_001
73184, Right lung cranial lobe, , IMPC_EMA_111_001
73185, Right lung middle lobe, , IMPC_EMA_112_001
73186, Right lung caudal lobe, , IMPC_EMA_113_001
73187, Right lung accessory lobe, , IMPC_EMA_114_001
73188, Left lung, , IMPC_EMA_115_001
73189, Diaphragm, , IMPC_EMA_116_001
73190, Peritoneal cavity, , IMPC_EMA_117_001
73191, Liver, , IMPC_EMA_118_001
73192, Liver left lobe, , IMPC_EMA_119_001
73193, Liver right lobe, , IMPC_EMA_120_001
73194, Liver caudate lobe, , IMPC_EMA_121_001
73195, Gallbladder, , IMPC_EMA_122_001
73196, Liver lobar interzone, , IMPC_EMA_123_001
73197, Pancreas, , IMPC_EMA_124_001
