name,description,isMandatory,impcParameterOrigId
Insulin Blood Level, The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727]., FALSE,37896
Insulin Blood Level, The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727]., FALSE,37897
Insulin Blood Level, The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727]., FALSE,37898
Insulin Blood Level, The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727]., FALSE,37899
Insulin Blood Level, The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727]., FALSE,37900
Insulin Blood Level, The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727]., FALSE,37901
Insulin Blood Level, The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727]., FALSE,37902
Insulin Blood Level, The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727]., FALSE,37903
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89737
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89738
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89739
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89740
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89741
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89742
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89743
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89744
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89745
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89747
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89748
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89749
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89750
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89751
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89752
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89753
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89754
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89755
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89756
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89757
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89758
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89759
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89760
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89761
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89762
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89763
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89764
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,89765
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,90855
Electrocardiogram (ECG), To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse., TRUE,90856
Gross Pathology and Tissue Collection, , TRUE,22110
Gross Pathology and Tissue Collection, , TRUE,22111
Gross Pathology and Tissue Collection, , TRUE,22112
Gross Pathology and Tissue Collection, , TRUE,22113
Gross Pathology and Tissue Collection, , TRUE,22114
Gross Pathology and Tissue Collection, , TRUE,22115
Gross Pathology and Tissue Collection, , TRUE,22116
Gross Pathology and Tissue Collection, , TRUE,22117
Gross Pathology and Tissue Collection, , TRUE,22118
Gross Pathology and Tissue Collection, , TRUE,22119
Gross Pathology and Tissue Collection, , TRUE,22120
Gross Pathology and Tissue Collection, , TRUE,22121
Gross Pathology and Tissue Collection, , TRUE,22122
Gross Pathology and Tissue Collection, , TRUE,22123
Gross Pathology and Tissue Collection, , TRUE,22124
Gross Pathology and Tissue Collection, , TRUE,22125
Gross Pathology and Tissue Collection, , TRUE,22126
Gross Pathology and Tissue Collection, , TRUE,22127
Gross Pathology and Tissue Collection, , TRUE,22128
Gross Pathology and Tissue Collection, , TRUE,22129
Gross Pathology and Tissue Collection, , TRUE,22130
Gross Pathology and Tissue Collection, , TRUE,22131
Gross Pathology and Tissue Collection, , TRUE,22132
Gross Pathology and Tissue Collection, , TRUE,22133
Gross Pathology and Tissue Collection, , TRUE,22134
Gross Pathology and Tissue Collection, , TRUE,22135
Gross Pathology and Tissue Collection, , TRUE,22136
Gross Pathology and Tissue Collection, , TRUE,22137
Gross Pathology and Tissue Collection, , TRUE,22138
Gross Pathology and Tissue Collection, , TRUE,22139
Gross Pathology and Tissue Collection, , TRUE,22140
Gross Pathology and Tissue Collection, , TRUE,22141
Gross Pathology and Tissue Collection, , TRUE,22142
Gross Pathology and Tissue Collection, , TRUE,22143
Gross Pathology and Tissue Collection, , TRUE,22144
Gross Pathology and Tissue Collection, , TRUE,22145
Gross Pathology and Tissue Collection, , TRUE,22146
Gross Pathology and Tissue Collection, , TRUE,22147
Gross Pathology and Tissue Collection, , TRUE,22148
Gross Pathology and Tissue Collection, , TRUE,22149
Gross Pathology and Tissue Collection, , TRUE,22150
Gross Pathology and Tissue Collection, , TRUE,22151
Histopathology, , FALSE,75512
Histopathology, , FALSE,75513
Histopathology, , FALSE,75514
Histopathology, , FALSE,75515
Histopathology, , FALSE,75516
Histopathology, , FALSE,75517
Histopathology, , FALSE,75518
Histopathology, , FALSE,75519
Histopathology, , FALSE,75520
Histopathology, , FALSE,75521
Histopathology, , FALSE,75522
Histopathology, , FALSE,75523
Histopathology, , FALSE,75524
Histopathology, , FALSE,75525
Histopathology, , FALSE,75526
Histopathology, , FALSE,75527
Histopathology, , FALSE,75528
Histopathology, , FALSE,75529
Histopathology, , FALSE,75530
Histopathology, , FALSE,75531
Histopathology, , FALSE,75532
Histopathology, , FALSE,75533
Histopathology, , FALSE,75534
Histopathology, , FALSE,75535
Histopathology, , FALSE,75536
Histopathology, , FALSE,75537
Histopathology, , FALSE,75538
Histopathology, , FALSE,75539
Histopathology, , FALSE,75540
Histopathology, , FALSE,75541
Histopathology, , FALSE,75542
Histopathology, , FALSE,75543
Histopathology, , FALSE,75544
Histopathology, , FALSE,75545
Histopathology, , FALSE,75546
Histopathology, , FALSE,75547
Histopathology, , FALSE,75548
Histopathology, , FALSE,75549
Histopathology, , FALSE,75550
Histopathology, , FALSE,75551
Histopathology, , FALSE,75552
Histopathology, , FALSE,75553
Histopathology, , FALSE,75554
Histopathology, , FALSE,75555
Histopathology, , FALSE,75556
Histopathology, , FALSE,75557
Histopathology, , FALSE,75558
Histopathology, , FALSE,75559
Histopathology, , FALSE,75560
Histopathology, , FALSE,75561
Histopathology, , FALSE,75562
Histopathology, , FALSE,75563
Histopathology, , FALSE,75564
Histopathology, , FALSE,75565
Histopathology, , FALSE,75566
Histopathology, , FALSE,75567
Histopathology, , FALSE,75568
Histopathology, , FALSE,75569
Histopathology, , FALSE,75570
Histopathology, , FALSE,75571
Histopathology, , FALSE,75572
Histopathology, , FALSE,75573
Histopathology, , FALSE,75574
Histopathology, , FALSE,75575
Histopathology, , FALSE,75576
Histopathology, , FALSE,75577
Histopathology, , FALSE,75578
Histopathology, , FALSE,75579
Histopathology, , FALSE,75580
Histopathology, , FALSE,75581
Histopathology, , FALSE,75582
Histopathology, , FALSE,75583
Histopathology, , FALSE,75584
Histopathology, , FALSE,75585
Histopathology, , FALSE,75586
Histopathology, , FALSE,75587
Histopathology, , FALSE,75588
Histopathology, , FALSE,75589
Histopathology, , FALSE,75590
Histopathology, , FALSE,75591
Histopathology, , FALSE,75592
Histopathology, , FALSE,75593
Histopathology, , FALSE,75594
Histopathology, , FALSE,75595
Histopathology, , FALSE,75596
Histopathology, , FALSE,75597
Histopathology, , FALSE,75598
Histopathology, , FALSE,75599
Histopathology, , FALSE,75600
Histopathology, , FALSE,75601
Histopathology, , FALSE,75602
Histopathology, , FALSE,75603
Histopathology, , FALSE,75604
Histopathology, , FALSE,75605
Histopathology, , FALSE,75606
Histopathology, , FALSE,75607
Histopathology, , FALSE,75608
Histopathology, , FALSE,75609
Histopathology, , FALSE,75610
Histopathology, , FALSE,75611
Histopathology, , FALSE,75612
Histopathology, , FALSE,75613
Histopathology, , FALSE,75614
Histopathology, , FALSE,75615
Histopathology, , FALSE,75616
Histopathology, , FALSE,75617
Histopathology, , FALSE,75618
Histopathology, , FALSE,75619
Histopathology, , FALSE,75620
Histopathology, , FALSE,75621
Histopathology, , FALSE,75622
Histopathology, , FALSE,75623
Histopathology, , FALSE,75624
Histopathology, , FALSE,75625
Histopathology, , FALSE,75626
Histopathology, , FALSE,75627
Histopathology, , FALSE,75628
Histopathology, , FALSE,75629
Histopathology, , FALSE,75630
Histopathology, , FALSE,75631
Histopathology, , FALSE,75632
Histopathology, , FALSE,75633
Histopathology, , FALSE,75634
Histopathology, , FALSE,75635
Histopathology, , FALSE,75636
Histopathology, , FALSE,75637
Histopathology, , FALSE,75638
Histopathology, , FALSE,75639
Histopathology, , FALSE,75640
Histopathology, , FALSE,75641
Histopathology, , FALSE,75642
Histopathology, , FALSE,75643
Histopathology, , FALSE,75644
Histopathology, , FALSE,75645
Histopathology, , FALSE,75646
Histopathology, , FALSE,75647
Histopathology, , FALSE,75648
Histopathology, , FALSE,75649
Histopathology, , FALSE,75650
Histopathology, , FALSE,75651
Histopathology, , FALSE,75652
Histopathology, , FALSE,75653
Histopathology, , FALSE,75654
Histopathology, , FALSE,75655
Histopathology, , FALSE,75656
Histopathology, , FALSE,75657
Histopathology, , FALSE,75658
Histopathology, , FALSE,75659
Histopathology, , FALSE,75660
Histopathology, , FALSE,75661
Histopathology, , FALSE,75662
Histopathology, , FALSE,75663
Histopathology, , FALSE,75664
Histopathology, , FALSE,75665
Histopathology, , FALSE,75666
Histopathology, , FALSE,75667
Histopathology, , FALSE,75668
Histopathology, , FALSE,75669
Histopathology, , FALSE,75670
Histopathology, , FALSE,75671
Histopathology, , FALSE,75672
Histopathology, , FALSE,75673
Histopathology, , FALSE,75674
Histopathology, , FALSE,75675
Histopathology, , FALSE,75676
Histopathology, , FALSE,75677
Histopathology, , FALSE,75678
Histopathology, , FALSE,75679
Histopathology, , FALSE,75680
Histopathology, , FALSE,75681
Histopathology, , FALSE,75682
Histopathology, , FALSE,75683
Histopathology, , FALSE,75684
Histopathology, , FALSE,75685
Histopathology, , FALSE,75686
Histopathology, , FALSE,75687
Histopathology, , FALSE,75688
Histopathology, , FALSE,75689
Histopathology, , FALSE,75690
Histopathology, , FALSE,75691
Histopathology, , FALSE,75692
Histopathology, , FALSE,75693
Histopathology, , FALSE,75694
Histopathology, , FALSE,75695
Histopathology, , FALSE,75696
Histopathology, , FALSE,75697
Histopathology, , FALSE,75698
Histopathology, , FALSE,75699
Histopathology, , FALSE,75700
Histopathology, , FALSE,75701
Histopathology, , FALSE,75702
Histopathology, , FALSE,75703
Histopathology, , FALSE,75704
Histopathology, , FALSE,75705
Histopathology, , FALSE,75706
Histopathology, , FALSE,75707
Histopathology, , FALSE,75708
Histopathology, , FALSE,75709
Histopathology, , FALSE,75710
Histopathology, , FALSE,75711
Histopathology, , FALSE,75712
Histopathology, , FALSE,75713
Histopathology, , FALSE,75714
Histopathology, , FALSE,75715
Histopathology, , FALSE,75716
Histopathology, , FALSE,75717
Histopathology, , FALSE,75718
Histopathology, , FALSE,75719
Histopathology, , FALSE,75720
Histopathology, , FALSE,75721
Histopathology, , FALSE,75722
Histopathology, , FALSE,75723
Histopathology, , FALSE,75724
Histopathology, , FALSE,75725
Histopathology, , FALSE,75726
Histopathology, , FALSE,75727
Histopathology, , FALSE,75728
Histopathology, , FALSE,75729
Histopathology, , FALSE,75730
Histopathology, , FALSE,75731
Histopathology, , FALSE,75732
Histopathology, , FALSE,75733
Histopathology, , FALSE,75734
Histopathology, , FALSE,75735
Histopathology, , FALSE,75736
Histopathology, , FALSE,75737
Histopathology, , FALSE,75738
Histopathology, , FALSE,75739
Histopathology, , FALSE,75740
Histopathology, , FALSE,75741
Histopathology, , FALSE,75742
Histopathology, , FALSE,75743
Histopathology, , FALSE,75744
Histopathology, , FALSE,75745
Histopathology, , FALSE,75746
Histopathology, , FALSE,75747
Histopathology, , FALSE,75748
Histopathology, , FALSE,75749
Histopathology, , FALSE,75750
Histopathology, , FALSE,75751
Histopathology, , FALSE,75752
Histopathology, , FALSE,75753
Histopathology, , FALSE,75754
Histopathology, , FALSE,75755
Histopathology, , FALSE,75756
Histopathology, , FALSE,75757
Histopathology, , FALSE,75758
Histopathology, , FALSE,75759
Histopathology, , FALSE,75760
Histopathology, , FALSE,75761
Histopathology, , FALSE,75762
Histopathology, , FALSE,75763
Histopathology, , FALSE,75764
Histopathology, , FALSE,75765
Histopathology, , FALSE,75766
Histopathology, , FALSE,75767
Histopathology, , FALSE,75768
Histopathology, , FALSE,75769
Histopathology, , FALSE,75770
Histopathology, , FALSE,75771
Histopathology, , FALSE,75772
Histopathology, , FALSE,75773
Histopathology, , FALSE,75774
Histopathology, , FALSE,75775
Histopathology, , FALSE,75776
Histopathology, , FALSE,75777
Histopathology, , FALSE,75778
Histopathology, , FALSE,75779
Histopathology, , FALSE,75780
Histopathology, , FALSE,75781
Histopathology, , FALSE,75782
Histopathology, , FALSE,75783
Histopathology, , FALSE,75784
Histopathology, , FALSE,75785
Histopathology, , FALSE,75786
Histopathology, , FALSE,75787
Histopathology, , FALSE,75788
Histopathology, , FALSE,75789
Histopathology, , FALSE,75790
Histopathology, , FALSE,75791
Histopathology, , FALSE,75792
Histopathology, , FALSE,75793
Histopathology, , FALSE,75794
Histopathology, , FALSE,75795
Histopathology, , FALSE,75796
Histopathology, , FALSE,75797
Histopathology, , FALSE,75798
Histopathology, , FALSE,75799
Histopathology, , FALSE,75800
Histopathology, , FALSE,75801
Histopathology, , FALSE,75802
Histopathology, , FALSE,75803
Histopathology, , FALSE,75804
Histopathology, , FALSE,75805
Histopathology, , FALSE,75806
Histopathology, , FALSE,75807
Histopathology, , FALSE,75808
Histopathology, , FALSE,75809
Histopathology, , FALSE,75810
Histopathology, , FALSE,75811
Histopathology, , FALSE,75812
Histopathology, , FALSE,75813
Histopathology, , FALSE,75814
Histopathology, , FALSE,75815
Histopathology, , FALSE,75816
Histopathology, , FALSE,75817
Histopathology, , FALSE,75818
Histopathology, , FALSE,75819
Histopathology, , FALSE,75820
Histopathology, , FALSE,75821
Histopathology, , FALSE,75822
Histopathology, , FALSE,75823
Histopathology, , FALSE,75824
Histopathology, , FALSE,75825
Histopathology, , FALSE,75826
Histopathology, , FALSE,75827
Histopathology, , FALSE,75828
Histopathology, , FALSE,75829
Histopathology, , FALSE,75830
Histopathology, , FALSE,75831
Histopathology, , FALSE,75832
Histopathology, , FALSE,75833
Histopathology, , FALSE,75834
Histopathology, , FALSE,75835
Histopathology, , FALSE,75836
Histopathology, , FALSE,75837
Histopathology, , FALSE,75838
Histopathology, , FALSE,75839
Histopathology, , FALSE,75840
Histopathology, , FALSE,75841
Histopathology, , FALSE,75842
Histopathology, , FALSE,75843
Histopathology, , FALSE,75844
Histopathology, , FALSE,75845
Histopathology, , FALSE,75846
Histopathology, , FALSE,75847
Histopathology, , FALSE,75848
Histopathology, , FALSE,75849
Histopathology, , FALSE,75850
Histopathology, , FALSE,75851
Histopathology, , FALSE,75852
Histopathology, , FALSE,75853
Histopathology, , FALSE,75854
Histopathology, , FALSE,75855
Histopathology, , FALSE,75856
Histopathology, , FALSE,75857
Histopathology, , FALSE,75858
Histopathology, , FALSE,75859
Histopathology, , FALSE,75860
Histopathology, , FALSE,75861
Histopathology, , FALSE,75862
Histopathology, , FALSE,75863
Histopathology, , FALSE,75864
Histopathology, , FALSE,75865
Histopathology, , FALSE,75866
Histopathology, , FALSE,75867
Histopathology, , FALSE,75868
Histopathology, , FALSE,75869
Histopathology, , FALSE,75870
Histopathology, , FALSE,75871
Histopathology, , FALSE,75872
Histopathology, , FALSE,75873
Histopathology, , FALSE,75874
Histopathology, , FALSE,75875
Histopathology, , FALSE,75876
Histopathology, , FALSE,75877
Histopathology, , FALSE,75878
Histopathology, , FALSE,75879
Histopathology, , FALSE,75880
Histopathology, , FALSE,75881
Histopathology, , FALSE,75882
Histopathology, , FALSE,75883
Histopathology, , FALSE,75884
Histopathology, , FALSE,75885
Histopathology, , FALSE,75886
Histopathology, , FALSE,75887
Histopathology, , FALSE,75888
Histopathology, , FALSE,75889
Histopathology, , FALSE,75890
Histopathology, , FALSE,75891
Histopathology, , FALSE,75892
Histopathology, , FALSE,85609
Welfare Observations, The Welfare Observations procedure is used for the recording of welfare issues as and when they occur., FALSE,67597
Welfare Observations, The Welfare Observations procedure is used for the recording of welfare issues as and when they occur., FALSE,67598
Welfare Observations, The Welfare Observations procedure is used for the recording of welfare issues as and when they occur., FALSE,67599
Welfare Observations, The Welfare Observations procedure is used for the recording of welfare issues as and when they occur., FALSE,67600
Welfare Observations, The Welfare Observations procedure is used for the recording of welfare issues as and when they occur., FALSE,74120
Gross Morphology Embryo E9.5, , FALSE,42538
Gross Morphology Embryo E9.5, , FALSE,42539
Gross Morphology Embryo E9.5, , FALSE,42540
Gross Morphology Embryo E9.5, , FALSE,42541
Gross Morphology Embryo E9.5, , FALSE,42542
Gross Morphology Embryo E9.5, , FALSE,42543
Gross Morphology Embryo E9.5, , FALSE,42544
Gross Morphology Embryo E9.5, , FALSE,42545
Gross Morphology Embryo E9.5, , FALSE,42546
Gross Morphology Embryo E9.5, , FALSE,42547
Gross Morphology Embryo E9.5, , FALSE,42548
Gross Morphology Embryo E9.5, , FALSE,42549
Gross Morphology Embryo E9.5, , FALSE,42550
Gross Morphology Embryo E9.5, , FALSE,42551
Gross Morphology Embryo E9.5, , FALSE,42552
Gross Morphology Embryo E9.5, , FALSE,42553
Gross Morphology Embryo E9.5, , FALSE,42554
Gross Morphology Embryo E9.5, , FALSE,42555
Gross Morphology Embryo E9.5, , FALSE,42556
Gross Morphology Embryo E9.5, , FALSE,42557
Gross Morphology Embryo E9.5, , FALSE,42558
Gross Morphology Embryo E9.5, , FALSE,42559
Gross Morphology Embryo E9.5, , FALSE,42560
Gross Morphology Embryo E9.5, , FALSE,42561
Gross Morphology Embryo E9.5, , FALSE,42562
Gross Morphology Embryo E9.5, , FALSE,42563
Gross Morphology Embryo E9.5, , FALSE,42564
Gross Morphology Embryo E9.5, , FALSE,42565
Gross Morphology Embryo E9.5, , FALSE,42566
Gross Morphology Embryo E9.5, , FALSE,42567
Gross Morphology Embryo E9.5, , FALSE,42568
Gross Morphology Embryo E9.5, , FALSE,42569
Gross Morphology Embryo E9.5, , FALSE,42570
Gross Morphology Embryo E9.5, , FALSE,42571
Gross Morphology Embryo E9.5, , FALSE,42572
Gross Morphology Embryo E9.5, , FALSE,42573
Gross Morphology Embryo E9.5, , FALSE,42574
Gross Morphology Embryo E9.5, , FALSE,42575
Gross Morphology Embryo E9.5, , FALSE,42576
Gross Morphology Embryo E9.5, , FALSE,42577
Gross Morphology Embryo E9.5, , FALSE,42578
Gross Morphology Embryo E9.5, , FALSE,42579
Housing and Husbandry, Housing_and_husbandry, FALSE,89677
Housing and Husbandry, Housing_and_husbandry, FALSE,89678
Housing and Husbandry, Housing_and_husbandry, FALSE,89679
Housing and Husbandry, Housing_and_husbandry, FALSE,89680
Housing and Husbandry, Housing_and_husbandry, FALSE,89681
Housing and Husbandry, Housing_and_husbandry, FALSE,89682
Housing and Husbandry, Housing_and_husbandry, FALSE,89683
Housing and Husbandry, Housing_and_husbandry, FALSE,89684
Housing and Husbandry, Housing_and_husbandry, FALSE,89685
Housing and Husbandry, Housing_and_husbandry, FALSE,89686
Housing and Husbandry, Housing_and_husbandry, FALSE,89687
Housing and Husbandry, Housing_and_husbandry, FALSE,89688
Housing and Husbandry, Housing_and_husbandry, FALSE,89689
Housing and Husbandry, Housing_and_husbandry, FALSE,89690
Housing and Husbandry, Housing_and_husbandry, FALSE,89691
Housing and Husbandry, Housing_and_husbandry, FALSE,89692
Housing and Husbandry, Housing_and_husbandry, FALSE,89693
Housing and Husbandry, Housing_and_husbandry, FALSE,89694
Housing and Husbandry, Housing_and_husbandry, FALSE,89695
Housing and Husbandry, Housing_and_husbandry, FALSE,89696
Housing and Husbandry, Housing_and_husbandry, FALSE,89697
Housing and Husbandry, Housing_and_husbandry, FALSE,89698
Housing and Husbandry, Housing_and_husbandry, FALSE,89699
Housing and Husbandry, Housing_and_husbandry, FALSE,89700
Housing and Husbandry, Housing_and_husbandry, FALSE,89701
Housing and Husbandry, Housing_and_husbandry, FALSE,89702
Housing and Husbandry, Housing_and_husbandry, FALSE,89703
Housing and Husbandry, Housing_and_husbandry, FALSE,89704
Housing and Husbandry, Housing_and_husbandry, FALSE,89705
Housing and Husbandry, Housing_and_husbandry, FALSE,89706
Housing and Husbandry, Housing_and_husbandry, FALSE,89707
Housing and Husbandry, Housing_and_husbandry, FALSE,89708
Housing and Husbandry, Housing_and_husbandry, FALSE,89709
Housing and Husbandry, Housing_and_husbandry, FALSE,89710
Housing and Husbandry, Housing_and_husbandry, FALSE,89711
Housing and Husbandry, Housing_and_husbandry, FALSE,89712
Housing and Husbandry, Housing_and_husbandry, FALSE,89713
Housing and Husbandry, Housing_and_husbandry, FALSE,89714
Housing and Husbandry, Housing_and_husbandry, FALSE,89715
Housing and Husbandry, Housing_and_husbandry, FALSE,89716
Housing and Husbandry, Housing_and_husbandry, FALSE,89717
Housing and Husbandry, Housing_and_husbandry, FALSE,89718
Housing and Husbandry, Housing_and_husbandry, FALSE,89719
Housing and Husbandry, Housing_and_husbandry, FALSE,89720
Housing and Husbandry, Housing_and_husbandry, FALSE,90854
Hematology, Hematological assessment of blood determines blood cell counts (white blood cells red blood cells hemoglobin and platelets) and additional hematological parameters (hematocrit mean cell volume mean corpuscular hemoglobin mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs.&nbsp;Ontological description: MP:0002429 - abnormal blood cell morphology/development., TRUE,29774
Hematology, Hematological assessment of blood determines blood cell counts (white blood cells red blood cells hemoglobin and platelets) and additional hematological parameters (hematocrit mean cell volume mean corpuscular hemoglobin mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs.&nbsp;Ontological description: MP:0002429 - abnormal blood cell morphology/development., TRUE,29775
